"Ulpin","OBJECTID_1","M_KHAS_ID","IDS","M_PAR_ID","DIST_NM","SUBDIV_ID","SUBDIV_NM","VILL_ID","VILL_NM","M_KHASRA_R","M_KHASRA_N","M_MIN_NO","TYPE","SUB_TYPE","PAT_PAR","PAT_STS","D_SOURCE","URBANBODY","Remarks","Validated","Date","name_date","VIL_NM_NIC","DIS_NM_NIC","SD_NM_NIC","VIL_CO_NIC","RE_2019","Shape_Leng","Shape_Area","DIS_CEN_CO","SUBD_CEN_C","VILL_CEN_C","M_KH_R","M_KH_N","M_MIN_N"
"86K6KRDA10MDH0","171","698678.793951801,3170530.16419076","12/15","129","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","12","20","0","AGRICULTURE","AGRICULTURE","12/20/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","235.415231578","3339.42817019","96","450","63996","0","","0"
"86K6S4DA11DDH0","172","698750.076763637,3170556.99498636","12/14/1","130","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","12","19/1","0","AGRICULTURE","AGRICULTURE","12/19/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","194.996367424","1436.57644068","96","450","63996","0","","0"
"86K70DDA104CH0","173","698621.202966503,3170567.88156754","11/15/1","134","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","15/1","0","WATER BODIES","WELL","11/15/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","43.9863646591","119.268528686","96","450","63996","0","","0"
"86K7LKDA0VA1H0","174","698540.131227097,3170642.46718245","11/7","159","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","7","0","AGRICULTURE","AGRICULTURE","11/7/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","304.185940929","5697.58988039","96","450","63996","0","","0"
"86K7KLDA0UJZH0","175","698472.838707802,3170637.89250812","11/8","160","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","8","0","AGRICULTURE","AGRICULTURE","11/8/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","315.613663887","6110.905302","96","450","63996","0","","0"
"86K7KBDA0U7AH0","176","698434.191178286,3170635.46536308","11/9/1","161","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","9/1","0","AGRICULTURE","AGRICULTURE","11/9/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","201.834194921","864.20146495","96","450","63996","0","","0"
"86K8GGDA0VAZH0","177","698541.679578054,3170734.52596498","11/4/2","180","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","4/2","0","AGRICULTURE","AGRICULTURE","11/4/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","376.009856695","6188.01340227","96","450","63996","0","","0"
"86K8FKDA0UKMH0","178","698474.462802886,3170729.54654923","11/3","183","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","3","0","AGRICULTURE","AGRICULTURE","11/3/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","323.20306638","6316.59053381","96","450","63996","0","","0"
"86K8F8DA0TTVH0","179","698405.815683739,3170726.96601204","11/2","187","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","2","0","AGRICULTURE","AGRICULTURE","11/2/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","324.767316192","6462.83822615","96","450","63996","0","","0"
"86K8F4DA0TAFH0","180","698344.099620022,3170734.16389825","11/1","189","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","1","0","AGRICULTURE","AGRICULTURE","11/1/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","286.726995027","4421.67432357","96","450","63996","0","","0"
"86K95HDA0UPKH0","181","698488.479053598,3170805.82639301","3/23/2","200","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","23/2","0","AGRICULTURE","AGRICULTURE","3/23/2","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","191.537457802","2215.71542447","96","450","63996","0","","0"
"86K958DA0UETH0","182","698455.110008293,3170803.88147627","3/23/1","201","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","23/1","0","AGRICULTURE","AGRICULTURE","3/23/1","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","169.699809473","1583.3121313","96","450","63996","0","","0"
"86K951DA0U51H0","183","698424.195691074,3170802.47733342","3/22/2","202","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","22/2","0","AGRICULTURE","AGRICULTURE","3/22/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","182.617171034","1951.3555185","96","450","63996","0","","0"
"86K94RDA0TPCH0","184","698390.111577244,3170801.24714604","3/22/1","203","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","22/1","0","AGRICULTURE","AGRICULTURE","3/22/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","182.392197087","1943.74946139","96","450","63996","0","","0"
"86K94HDA0T9JH0","185","698340.689824926,3170799.46233331","3/21","204","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","21","0","AGRICULTURE","AGRICULTURE","3/21/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","244.081028636","3705.71775556","96","450","63996","0","","0"
"86K94GDA0SZHH0","186","698286.814069679,3170805.29230286","4/25","205","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","25","0","AGRICULTURE","AGRICULTURE","4/25/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","210.08535873","2103.18367883","96","450","63996","0","","0"
"86K9LHDA0UL6H0","187","698473.734174415,3170861.95341664","3/18","219","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","18","0","AGRICULTURE","AGRICULTURE","3/18/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","248.500593596","3833.22603584","96","450","63996","0","","0"
"86K9L0DA0TV0H0","188","698406.623159755,3170859.2636202","3/19","220","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","19","0","AGRICULTURE","AGRICULTURE","3/19/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","249.65489191","3861.14847004","96","450","63996","0","","0"
"86K9KTDA0TA2H0","189","698341.25778753,3170857.38758086","3/20","221","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","20","0","AGRICULTURE","AGRICULTURE","3/20/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","245.036606488","3743.59229379","96","450","63996","0","","0"
